task,budget
206,330219.648
207,169399.235
208,373372.336
209,274746.027
210,493021.156
211,320090.409
212,497890.038
213,122888.981
214,585252.884
215,289965.279
216,544819.563
217,490539.558
218,462712.813
219,442481.375
220,577861.281
221,314048.895
222,264651.944
223,469897.876
224,338979.981
225,412473.238
226,265760.217
227,159821.069
228,532978.071
229,473356.649
230,447284.828
231,259147.928
232,114241.963
233,139032.776
234,470271.93
235,176435.214
236,496960.826
237,372740.32
238,284430.537
239,533880.97
240,226243.318
241,150921.612
242,438581.703
243,208024.691
244,356523.8
245,510773.845
246,185020.505
247,197183.417
248,311511.8
249,508485.071
250,498668.278
251,543243.751
252,258852.417
253,289597.1
254,369685.459
255,527989.675
256,564572.487
257,259994.049
258,330846.934
259,495155.481
260,368662.065
261,514954.253
262,369807.589
263,119358.146
264,130122.822
265,121549.598
266,101771.242
267,214528.533
268,416011.592
269,205112.8
270,105708.624
271,254982.895
272,521292.629
273,220291.978
274,253245.587
275,554013.837
276,528632.252
277,532710.019
278,298563.962
279,116237.69
280,276128.591
281,530766.948
282,279022.295
283,298505.079
284,335108.85
285,305414.094
286,537587.363
287,220216.337
288,235438.307
289,245555.382
290,315989.731
291,578746.744
292,351670.241
293,275420.975
294,185586.71
295,394047.298
296,313445.094
297,381242.924
298,271633.163
299,262932.537
300,312290.646
301,432974.529
302,419133.065
303,544786.851
304,463112.94
305,131549.904
306,524009.485
307,186107.681
308,366722.617
309,596462.519
310,224659.019
311,418615.43
312,297840.018
313,489586.345
314,323906.865
315,507551.836
316,251394.107
317,420805.346
318,475551.514
319,500678.969
320,497910.392
321,178395.019
322,126243.061
323,161132.912
324,487988.633
325,266405.299
326,440347.252
327,508419.407
328,385723.538
329,312602.051
330,488230.44
331,199275.785
332,508698.758
333,246895.098
334,214092.162
335,369052.449
336,478388.67
337,298123.434
338,417193.207
339,519895.716
340,375334.831
341,535333.845
342,578102.532
343,215435.013
344,485418.363
345,422076.115
346,395919.96
347,450732.267
348,160082.11
349,524158.669
350,280978.55
351,179039.025
352,591064.193
353,524181.108
354,589667.784
355,154602.514
356,529360.79
357,189172.615
358,109643.662
359,206763.831
360,553487.051
361,331845.113
362,506919.502
363,180168.191
364,180223.341
365,349070.531
366,200340.032
367,485334.195
368,444201.129
369,566039.401
370,382876.027
371,378668.089
372,404453.071
373,598857.359
374,501925.789
375,474936.26
376,469523.997
377,445501.495
378,405664.619
379,381365.883
380,421320.931
381,214105.872
382,291712.457
383,323474.031
384,447875.306
385,213264.414
386,378713.672
387,296910.935
388,598362.468
389,593400.424
390,313743.797
391,307806.86
392,400655.558
393,203938.611
394,271739.026
395,239366.231
396,179322.808
397,179895.256
398,359397.144
399,553148.415
400,412738.576
