task,latitude,longitude
377,21.6442,76.5004
378,17.5288,76.1489
379,30.5096,80.578
380,22.5242,88.1392
381,25.3946,87.7617
382,31.3776,96.51
383,33.0468,68.7907
384,22.4675,76.2196
385,35.1135,83.4704
386,11.8444,69.9254
387,19.1852,94.0041
388,27.3008,93.868
389,30.3617,82.6372
390,10.1188,81.0976
391,21.9267,89.3259
392,28.4199,72.0901
393,10.7901,80.3924
394,31.5335,78.6132
395,19.4965,81.7933
396,29.2422,74.2325
397,11.4071,90.0913
398,27.2454,95.6355
399,18.857,71.8358
400,16.3657,90.3525
