worker,skill
100,10
101,7
101,4
101,6
102,5
102,8
102,4
103,7
103,5
103,10
104,10
105,2
105,8
105,6
106,6
106,1
107,8
107,5
107,6
108,8
108,9
108,6
108,2
109,9
109,8
109,2
109,5
109,10
110,4
111,2
111,1
111,10
111,9
112,7
112,2
112,1
112,3
112,5
113,7
113,9
113,8
113,2
113,6
114,6
114,3
114,2
114,1
115,2
115,9
115,1
115,8
116,10
116,7
116,2
116,9
117,6
117,5
117,8
117,2
117,10
118,9
118,5
118,6
118,10
119,5
119,8
119,10
120,7
120,6
120,8
120,10
121,2
121,5
121,9
121,10
121,8
122,9
122,3
122,6
122,10
122,8
123,8
124,7
124,3
125,7
125,2
125,10
125,6
126,1
126,3
126,2
126,7
126,8
127,7
127,1
128,3
128,10
129,4
129,9
130,6
130,5
130,7
130,10
130,9
131,5
131,10
131,7
131,6
132,8
132,9
132,3
132,1
133,1
133,4
133,7
133,6
133,5
134,5
134,4
134,10
135,5
135,2
135,6
136,5
136,2
136,9
136,7
137,7
137,1
137,4
137,8
138,3
138,1
138,2
138,5
138,9
139,9
140,5
140,4
140,7
140,3
140,8
141,8
141,4
141,6
141,5
142,4
142,10
142,8
143,7
143,8
144,10
144,5
145,5
145,6
145,3
145,1
146,8
146,9
146,10
146,5
146,6
147,7
147,1
147,4
148,9
148,4
148,7
148,5
148,8
149,2
149,1
149,4
149,9
150,3
150,5
150,9
150,8
150,10
151,6
151,7
151,5
151,1
152,5
152,8
153,4
153,5
153,2
153,7
153,8
154,7
154,5
154,4
154,2
154,6
155,5
156,1
156,3
156,9
157,7
158,4
158,5
158,8
158,2
159,5
159,6
160,1
160,5
161,3
162,8
162,3
162,6
163,3
164,10
164,2
165,5
165,3
165,9
166,3
166,1
166,10
167,7
167,1
167,3
167,6
168,3
168,5
168,8
169,3
170,9
170,5
170,6
171,5
171,3
171,9
171,1
171,6
172,3
172,9
172,4
172,8
172,10
173,7
174,7
174,9
175,5
175,6
175,2
175,8
176,4
176,7
177,8
177,6
177,10
177,2
178,5
179,6
179,1
180,4
180,5
180,1
180,3
180,6
181,2
181,5
181,3
181,1
181,6
182,4
182,6
182,3
182,7
183,6
183,1
184,5
184,9
184,7
184,10
185,1
185,8
185,10
186,7
186,1
186,2
186,10
187,8
187,9
188,6
188,1
188,5
188,3
188,2
189,7
190,1
190,5
191,6
191,3
191,2
191,5
191,9
192,7
193,1
193,10
193,6
193,7
194,10
194,7
194,5
195,7
195,4
195,8
195,5
195,9
196,2
196,9
196,3
196,1
196,7
197,2
198,6
198,1
198,7
199,6
199,10
199,2
199,7
200,6
200,2
201,10
201,9
201,4
201,8
202,6
202,9
202,10
203,2
203,10
203,1
203,3
203,6
204,1
204,5
204,6
204,7
204,10
205,2
205,4
205,7
205,9
206,2
206,9
206,5
207,8
207,3
207,5
208,6
209,7
210,2
210,7
211,9
211,8
211,2
211,3
212,4
213,5
213,4
213,9
213,2
214,8
214,9
215,9
215,3
215,7
216,6
216,4
216,9
217,6
218,10
218,4
218,6
219,5
219,7
219,10
219,1
219,9
220,10
221,4
221,8
221,3
221,6
221,5
222,8
222,2
222,6
222,7
222,10
223,2
223,6
223,5
224,3
224,2
224,4
224,8
225,1
225,9
225,5
225,4
225,3
226,8
226,7
226,4
226,10
226,3
227,7
228,9
228,4
228,6
228,7
229,6
229,1
229,10
229,7
229,2
230,3
230,8
230,4
230,10
230,7
231,7
231,2
231,1
232,6
233,6
233,1
234,8
234,4
234,1
234,3
235,10
235,5
235,4
236,5
236,2
236,6
236,8
237,7
238,3
238,2
238,5
238,7
239,3
240,5
241,1
241,10
241,4
241,2
241,9
242,9
243,10
244,9
244,8
244,5
244,7
244,10
245,4
245,7
245,5
245,3
245,2
246,1
246,8
246,10
247,10
248,2
249,5
249,2
249,6
250,8
