worker,task
144,89
145,76
145,82
146,89
146,24
146,4
147,52
147,31
147,8
147,79
147,50
148,14
148,39
148,48
148,25
148,66
149,75
149,10
149,34
149,31
149,9
150,3
150,47
151,56
152,17
152,67
152,13
152,45
152,28
153,33
153,16
153,14
153,58
153,63
154,8
154,100
154,14
155,75
155,66
155,36
155,58
156,32
157,11
157,76
157,37
158,66
158,2
158,15
159,66
159,75
159,38
159,22
160,24
160,2
160,70
160,100
160,65
161,81
161,100
161,57
161,4
162,24
162,93
162,10
163,78
163,72
163,37
163,14
164,15
165,6
165,28
165,1
165,19
165,8
166,36
166,93
167,11
167,53
167,90
167,23
168,13
168,70
169,94
169,35
170,90
170,88
171,78
171,2
171,24
171,90
172,32
172,1
172,31
172,79
173,61
173,65
174,68
174,70
174,62
175,89
176,19
176,64
176,26
176,94
176,88
177,18
177,92
177,44
177,47
177,63
178,31
178,10
179,97
179,47
179,9
179,91
179,3
180,80
180,50
180,73
181,21
181,32
181,90
181,8
181,83
182,20
182,49
182,1
183,96
184,95
184,100
184,94
185,55
185,6
186,5
186,50
186,83
186,76
186,8
187,15
187,58
187,70
187,39
187,17
188,66
189,54
189,28
189,24
189,42
189,76
190,39
190,74
190,81
191,25
191,99
191,31
191,62
191,50
192,10
193,77
193,55
194,10
194,35
194,39
195,10
195,93
195,82
195,52
196,72
197,86
197,25
197,11
197,39
198,32
198,31
198,61
199,37
199,44
199,83
199,43
200,2
200,72
200,95
200,79
200,24
201,77
201,68
201,28
201,59
201,75
202,61
203,80
204,31
204,26
205,30
205,98
205,79
205,96
205,3
206,44
207,81
207,85
207,73
207,86
207,87
208,91
208,46
208,7
208,28
208,49
209,65
209,69
209,94
209,14
210,85
210,6
211,27
211,18
211,11
211,72
212,52
213,81
213,93
213,42
213,99
214,80
214,15
214,18
215,90
215,27
215,95
215,73
216,19
216,66
216,57
216,17
217,23
218,97
218,82
219,21
219,57
219,20
219,51
220,51
220,83
220,38
220,28
221,9
221,35
221,38
221,83
222,34
222,26
222,49
223,80
223,61
223,40
223,84
223,15
224,1
224,79
224,63
225,22
225,90
225,8
226,73
226,52
227,35
227,61
227,14
227,30
227,6
228,72
228,22
228,44
229,25
229,4
230,73
230,53
231,72
232,53
232,72
232,15
232,42
232,97
233,18
233,82
233,92
234,22
234,35
235,60
235,79
235,25
235,66
235,10
236,97
236,96
236,82
237,40
237,19
237,13
237,44
237,66
238,65
238,26
239,10
239,29
239,67
239,87
240,8
240,18
240,90
240,9
240,4
241,6
242,73
243,53
243,41
243,73
243,84
243,38
244,51
244,49
245,82
246,37
246,44
246,28
247,67
247,74
248,41
248,88
248,10
249,100
249,79
249,34
250,30
250,48
250,14
