worker,task
144,89
145,76
145,82
146,89
146,24
146,4
147,52
147,31
147,8
147,79
147,50
148,14
148,39
148,48
148,25
148,66
149,75
149,10
149,34
149,31
149,9
150,3
150,47
151,56
152,17
152,67
152,13
152,45
152,28
153,33
153,16
153,14
153,58
153,63
154,8
154,100
154,14
155,75
155,66
155,36
155,58
156,32
157,11
157,76
157,37
158,66
158,2
158,15
159,66
159,75
159,38
159,22
160,24
160,2
160,70
160,100
160,65
161,81
161,100
161,57
161,4
162,24
162,93
162,10
163,78
163,72
163,37
163,14
164,15
165,6
165,28
165,1
165,19
165,8
166,36
166,93
167,11
167,53
167,90
167,23
168,13
168,70
169,94
169,35
170,90
170,88
171,78
171,2
171,24
171,90
172,32
172,1
172,31
172,79
173,61
173,65
174,68
174,70
174,62
175,89
176,19
176,64
176,26
176,94
176,88
177,18
177,92
177,44
177,47
177,63
178,31
178,10
179,97
179,47
179,9
179,91
179,3
180,80
180,50
180,73
181,21
181,32
181,90
181,8
181,83
182,20
182,49
182,1
183,96
184,95
184,100
184,94
185,55
185,6
186,5
186,50
186,83
186,76
186,8
187,15
187,58
187,70
187,39
187,17
188,66
189,54
189,28
189,24
189,42
189,76
190,39
190,74
190,81
191,25
191,99
191,31
191,62
191,50
192,10
193,77
193,55
194,10
194,35
194,39
195,10
195,93
195,82
195,52
196,72
197,86
197,25
197,11
197,39
198,32
198,31
198,61
199,37
199,44
199,83
199,43
200,2
200,72
200,95
200,79
200,24
201,77
201,68
201,28
201,59
201,75
202,61
203,80
204,31
204,26
205,30
205,98
205,79
205,96
205,3
206,44
207,81
207,85
207,73
207,86
207,87
208,91
208,46
208,7
208,28
208,49
209,65
209,69
209,94
209,14
210,85
210,6
211,27
211,18
211,11
211,72
212,52
213,81
213,93
213,42
213,99
214,80
214,15
214,18
215,90
215,27
215,95
215,73
216,19
216,66
216,57
216,17
217,23
218,97
218,82
219,21
219,57
219,20
219,51
220,51
220,83
220,38
220,28
221,9
221,35
221,38
221,83
222,34
222,26
222,49
223,80
223,61
223,40
223,84
223,15
224,1
224,79
224,63
225,22
225,90
225,8
226,73
226,52
227,35
227,61
227,14
227,30
227,6
228,72
228,22
228,44
229,25
229,4
230,73
230,53
231,72
232,53
232,72
232,15
232,42
232,97
233,18
233,82
233,92
234,22
234,35
235,60
235,79
235,25
235,66
235,10
236,97
236,96
236,82
237,40
237,19
237,13
237,44
237,66
238,65
238,26
239,10
239,29
239,67
239,87
240,8
240,18
240,90
240,9
240,4
241,6
242,73
243,53
243,41
243,73
243,84
243,38
244,51
244,49
245,82
246,37
246,44
246,28
247,67
247,74
248,41
248,88
248,10
249,100
249,79
249,34
250,30
250,48
250,14
251,95
251,4
251,92
251,64
252,62
252,14
252,97
252,70
252,59
253,84
253,95
253,74
254,17
254,90
254,12
255,41
255,71
255,60
255,81
255,1
256,13
257,18
257,8
257,13
257,26
258,1
258,79
258,68
259,15
259,75
260,43
261,55
261,77
261,99
262,10
262,83
262,52
262,51
263,9
264,62
264,1
264,44
264,34
264,7
265,39
266,39
266,54
266,55
267,58
267,6
268,64
268,91
268,42
269,70
269,51
269,57
269,48
270,9
271,28
271,7
271,67
272,47
273,2
273,56
273,29
273,64
274,29
274,52
274,7
274,57
275,40
275,64
276,9
276,51
276,25
277,97
277,30
278,64
279,63
279,88
280,48
280,66
281,23
281,51
282,51
282,99
282,83
283,57
283,20
283,63
284,65
284,21
284,20
284,94
285,63
285,72
285,92
285,80
286,50
286,67
286,90
286,21
287,21
287,74
287,100
287,61
288,69
288,12
288,68
289,52
289,94
289,98
289,14
290,99
290,67
291,12
292,19
293,22
293,85
294,43
294,94
294,88
294,48
294,69
295,57
295,86
296,64
296,82
296,10
297,61
297,42
297,11
297,68
298,62
298,83
298,9
298,24
299,80
299,43
299,31
300,71
300,20
301,99
302,88
303,29
304,62
304,93
304,49
305,4
305,24
305,86
305,80
305,46
306,18
306,19
306,43
306,88
306,6
307,14
307,16
307,77
307,79
308,73
308,25
308,2
308,7
308,50
309,44
309,43
309,42
310,49
310,61
310,44
310,46
310,80
311,44
311,27
311,81
311,80
312,96
312,20
313,4
313,53
313,84
314,28
315,27
315,4
315,9
315,94
315,25
316,84
316,5
316,87
316,19
316,64
317,65
317,89
318,62
319,54
320,64
321,35
321,70
322,32
322,72
322,73
322,88
323,13
323,15
323,94
323,82
323,89
324,6
324,80
325,47
325,96
325,23
325,100
326,29
326,25
326,74
327,89
327,85
327,79
327,24
328,51
328,38
328,87
328,9
329,68
330,98
330,77
330,24
331,19
331,62
332,24
332,12
332,90
333,25
333,39
334,21
335,94
335,62
336,73
336,37
336,98
336,82
337,18
337,19
338,99
338,78
339,13
339,38
340,16
341,57
341,58
341,69
342,85
342,88
342,34
342,92
342,25
343,11
343,55
343,76
344,53
344,10
344,66
344,70
345,56
345,40
345,28
346,60
346,36
346,53
347,65
348,1
349,69
350,14
350,13
351,48
351,10
351,20
352,63
352,2
353,63
353,99
353,3
353,98
353,25
354,52
354,12
354,55
354,14
355,32
356,100
356,86
356,48
357,99
358,82
358,16
358,81
358,29
359,86
359,33
359,21
359,26
359,43
360,20
361,25
361,94
362,43
362,47
362,100
362,67
363,62
363,46
363,92
363,37
363,6
364,35
364,15
364,47
364,46
364,28
365,20
365,39
366,39
366,71
366,63
366,87
367,36
367,29
368,37
368,22
368,1
368,93
369,51
369,72
370,97
370,68
371,9
371,37
371,1
372,26
372,71
372,1
372,56
373,77
373,91
373,9
373,72
373,89
374,92
374,22
374,95
374,96
374,66
375,85
376,78
376,73
376,38
376,13
376,35
377,60
377,88
377,53
377,89
377,29
378,76
379,47
379,16
379,79
379,5
379,12
380,5
380,92
380,48
381,69
381,95
382,26
383,31
383,77
383,53
384,3
384,62
384,37
384,44
384,84
385,21
385,65
385,15
386,14
386,48
386,68
386,30
387,96
387,75
387,33
387,91
387,99
388,77
388,15
388,64
388,67
389,43
390,35
391,61
391,87
392,36
392,25
393,78
393,70
393,61
393,66
393,60
394,8
394,84
394,34
395,56
395,25
395,11
396,15
396,90
396,43
396,80
397,11
398,5
398,91
399,60
399,70
399,83
399,96
399,89
400,50
401,85
401,81
401,64
401,16
402,3
403,61
403,36
403,15
404,7
404,100
404,43
404,62
405,12
406,32
406,93
406,66
406,37
406,35
407,28
407,59
407,54
407,30
408,24
408,21
408,49
408,43
409,34
409,39
409,91
409,52
410,73
410,38
411,65
412,52
412,48
412,38
413,76
413,14
413,15
413,25
414,56
414,37
414,59
414,92
414,74
415,63
415,20
415,26
415,31
416,39
416,79
416,78
416,66
416,27
417,36
417,69
417,39
418,96
418,16
418,74
419,95
419,63
419,88
419,46
420,16
420,52
420,70
420,19
420,65
421,81
421,29
421,87
421,47
421,90
422,31
423,73
423,66
424,88
424,62
424,100
424,42
425,53
425,24
425,88
425,81
425,98
426,90
426,47
426,46
427,99
427,14
427,26
427,80
427,97
428,22
429,97
429,95
429,54
430,85
430,52
430,79
431,81
432,11
432,63
432,44
433,84
433,20
433,56
434,17
434,1
434,59
434,57
435,99
435,36
435,91
435,68
436,52
436,10
437,24
437,48
437,9
438,31
439,90
440,76
440,45
440,79
441,82
441,21
441,60
441,85
441,6
442,10
442,42
442,88
442,85
442,82
443,37
443,87
444,81
444,70
444,73
444,37
445,93
445,97
445,72
445,95
446,63
447,83
447,97
447,5
447,48
447,17
448,68
448,53
448,83
448,37
448,80
449,48
449,8
449,57
450,89
450,94
450,19
450,96
450,21
451,50
451,60
451,77
452,48
452,84
452,15
452,25
452,20
453,64
453,90
454,65
454,44
454,64
454,40
454,9
455,34
455,56
455,2
456,30
457,45
457,90
457,62
458,51
459,27
459,54
459,50
459,72
460,18
460,92
460,19
460,54
461,33
462,54
462,91
462,65
462,96
462,51
463,70
463,80
463,30
464,99
464,7
465,29
465,84
465,7
465,48
465,2
466,18
466,71
466,20
466,26
466,68
467,84
467,16
467,82
468,47
468,76
468,59
468,98
469,77
469,16
469,99
469,18
470,37
471,18
471,53
471,4
471,19
471,36
472,47
472,19
473,78
473,23
473,18
473,3
474,23
475,64
476,74
476,88
476,28
476,91
477,51
477,18
478,2
478,67
478,19
478,54
478,75
479,23
479,84
479,64
479,43
480,12
480,43
480,31
480,38
481,65
481,7
482,50
482,89
482,46
482,93
483,22
483,89
484,78
484,18
484,30
484,1
485,9
485,24
485,30
486,34
486,69
486,92
486,12
486,5
487,28
487,40
487,6
488,53
489,68
489,21
489,51
490,30
491,3
492,13
493,38
493,88
493,44
493,81
494,54
494,85
494,33
494,63
494,77
495,21
496,55
496,85
496,91
496,73
496,54
497,49
498,86
498,71
498,92
498,72
499,62
499,9
499,38
499,42
499,67
500,10
500,27
