worker,task
313,17
313,88
313,74
314,27
314,92
314,55
314,83
315,75
315,27
315,17
315,16
316,14
316,92
317,50
317,26
318,47
318,32
318,51
318,89
318,69
319,10
319,41
319,77
319,5
320,21
320,16
320,80
320,77
320,11
321,92
321,57
321,53
321,25
322,15
323,84
323,16
323,98
323,54
324,70
324,94
324,79
324,50
324,31
325,40
325,6
325,92
326,5
326,84
326,2
326,37
327,35
327,30
328,91
328,49
328,20
328,12
329,90
329,43
329,59
330,16
330,83
330,75
330,44
330,89
331,10
331,81
332,52
332,22
333,64
333,69
333,23
333,82
334,67
334,75
334,97
334,10
334,44
335,70
335,66
335,17
335,35
335,72
336,73
336,65
336,7
336,44
337,22
337,37
337,67
337,21
337,48
338,84
338,79
338,37
338,18
339,2
339,93
339,21
339,85
340,85
340,45
340,4
340,88
341,90
341,39
342,71
343,14
343,70
343,21
344,1
345,85
345,34
345,31
345,55
346,40
346,91
346,68
347,94
347,99
348,11
348,50
348,33
348,58
348,37
349,9
349,66
349,76
350,79
350,22
351,25
351,54
351,78
351,4
351,89
352,46
352,45
353,70
353,34
353,68
353,38
353,61
354,50
354,19
354,89
354,5
354,93
355,13
355,29
355,10
356,81
356,84
356,97
356,14
357,75
357,14
358,78
358,98
359,88
360,5
360,6
360,20
360,24
361,100
361,42
361,79
361,62
361,90
362,100
362,66
362,61
363,73
364,44
364,50
364,13
364,67
365,28
366,99
366,91
366,9
366,97
366,19
367,4
367,49
367,52
368,34
368,92
368,65
368,14
369,2
370,53
370,34
370,20
371,83
371,76
372,68
372,97
372,31
372,50
372,49
373,80
373,72
373,98
373,78
373,2
374,86
375,55
376,46
376,29
376,59
377,37
377,77
377,56
377,60
377,21
378,52
378,47
379,57
379,82
379,9
380,96
380,7
381,68
381,95
382,87
383,59
383,49
383,78
383,41
383,70
384,59
384,35
384,55
384,46
384,38
385,41
386,31
386,40
387,82
387,89
387,41
387,34
388,20
388,42
388,91
388,47
389,83
389,41
389,68
390,5
390,36
390,2
390,45
390,92
391,97
391,69
392,12
392,9
392,70
393,46
393,63
394,51
394,79
394,48
395,63
395,81
395,39
396,18
397,99
397,76
397,64
397,62
397,93
398,39
398,15
398,92
398,9
399,96
399,38
400,15
