task,budget
287,400383.065
288,590702.64
289,130449.404
290,375552.056
291,321353.221
292,586188.928
293,503551.346
294,387569.906
295,355397.509
296,218700.302
297,231280.768
298,139383.841
299,439034.555
300,156719.678
301,448917.837
302,543250.237
303,333009.791
304,165433.499
305,143844.597
306,353147.765
307,191656.804
308,546532.779
309,522496.508
310,204583.616
311,422833.479
312,302544.133
313,597246.197
314,103600.809
315,555383.587
316,409006.305
317,176409.747
318,341048.737
319,437305.646
320,460720.99
321,487020.921
322,552524.258
323,185402.656
324,447264.767
325,151682.721
326,426433.547
327,539804.736
328,481999.772
329,247418.583
330,191837.018
331,295597.957
332,222504.569
333,185728.979
334,179052.284
335,413894.308
336,430914.874
337,323233.759
338,579997.077
339,423052.16
340,194860.658
341,594315.351
342,358685.777
343,102779.718
344,529208.997
345,254952.938
346,196241.65
347,433884.727
348,547116.45
349,372766.912
350,509346.055
351,372814.223
352,299798.861
353,541165.607
354,557796.803
355,439539.483
356,133491.377
357,496140.123
358,513943.085
359,285649.029
360,337561.429
361,507714.806
362,398105.563
363,149900.506
364,387903.757
365,464991.184
366,546999.401
367,597327.719
368,294973.425
369,360099.848
370,507897.837
371,332188.358
372,206856.472
373,139502.393
374,583540.103
375,320173.983
376,413799.746
377,438795.938
378,491791.593
379,511861.654
380,453966.62
381,171099.021
382,383913.459
383,382534.11
384,248782.407
385,334055.983
386,372690.91
387,435101.441
388,537839.938
389,226646.955
390,167881.589
391,487263.698
392,517427.284
393,580238.018
394,433381.78
395,462956.816
396,376704.795
397,246663.598
398,496963.978
399,284207.026
400,354700.048
401,525699.493
402,246625.856
403,506939.175
404,518931.306
405,493103.364
406,386453.214
407,498334.415
408,446755.735
409,447254.745
410,212431.549
411,231745.553
412,461259.598
413,541678.918
414,150159.755
415,106912.926
416,120404.166
417,283208.256
418,392564.926
419,154856.082
420,554485.137
421,566851.577
422,346097.621
423,417809.633
424,559462.231
425,119818.975
426,461941.683
427,125069.394
428,502518.721
429,565351.402
430,455566.874
431,192894.964
432,104394.197
433,165315.171
434,401160.282
435,169224.13
436,416953.992
437,263977.518
438,541730.476
439,481028.351
440,322571.437
441,597793.927
442,312674.238
443,443051.603
444,489767.08
445,370869.886
446,135902.958
447,410308.522
448,310380.66
449,505824.309
450,194307.37
451,360149.715
452,199774.399
453,169908.475
454,215743.143
455,594267.73
456,187042.72
457,362965.132
458,111328.618
459,434492.172
460,174416.924
461,287161.979
462,219729.697
463,218988.938
464,572541.298
465,454935.541
466,159414.009
467,139602.125
468,401070.171
469,193743.241
470,396772.418
471,560493.582
472,513527.455
473,498973.759
474,193160.077
475,145288.158
476,431928.197
477,271560.531
478,528799.215
479,163672.447
480,140744.751
481,153392.801
482,164225.136
483,114703.047
484,492129.066
485,353384.391
486,427048.853
487,119843.648
488,433305.058
489,354552.887
490,384219.15
491,591466.371
492,195385.571
493,182069.579
494,482867.688
495,406915.889
496,392346.679
497,368935.746
498,262613.314
499,461475.337
500,153297.116
