worker,cost
173,7.222
174,5.332
175,9.71
176,6.695
177,9.704
178,8.757
179,7.425
180,6.361
181,7.344
182,9.742
183,9.778
184,9.309
185,5.447
186,9.023
187,8.572
188,9.544
189,5.358
190,7.107
191,8.365
192,6.228
193,5.55
194,5.839
195,6.932
196,5.15
197,7.625
198,6.45
199,9.574
200,7.567
201,6.92
202,7.02
203,8.181
204,6.742
205,6.812
206,5.104
207,5.192
208,5.097
209,8.022
210,7.899
211,8.744
212,5.14
213,7.087
214,7.894
215,6.987
216,7.065
217,8.838
218,8.7
219,7.507
220,8.103
221,6.715
222,8.93
223,9.107
224,7.526
225,7.25
226,5.467
227,6.581
228,9.935
229,7.24
230,5.177
231,8.193
232,8.52
233,9.419
234,8.758
235,6.083
236,8.098
237,6.921
238,9.692
239,8.909
240,8.067
241,8.355
242,8.074
243,5.847
244,9.612
245,6.173
246,5.722
247,5.174
248,6.335
249,8.238
250,8.332
251,6.714
252,6.685
253,8.598
254,9.456
255,5.03
256,9.175
257,6.304
258,5.321
259,9.967
260,5.474
261,5.175
262,9.032
263,7.253
264,9.866
265,7.824
266,8.358
267,8.315
268,5.117
269,7.43
270,5.084
271,7.396
272,5.676
273,9.746
274,5.78
275,9.078
276,8.135
277,6.625
278,6.272
279,6.279
280,5.996
281,9.025
282,8.514
283,5.093
284,9.181
285,7.976
286,5.717
287,8.09
288,9.129
289,5.196
290,7.77
291,8.867
292,5.812
293,5.771
294,6.519
295,8.997
296,5.311
297,7.263
298,7.404
299,7.24
300,6.559
301,6.64
302,5.631
303,5.785
304,7.638
305,6.074
306,8.025
307,8.443
308,9.847
309,7.95
310,5.678
311,6.583
312,9.044
313,9.983
314,5.637
315,5.348
316,6.001
317,7.659
318,6.463
319,7.682
320,6.414
321,5.843
322,8.148
323,6.099
324,9.951
325,6.646
326,9.451
327,7.503
328,9.978
329,7.65
330,6.943
331,7.956
332,7.811
333,5.128
334,6.364
335,7.011
336,8.922
337,8.727
338,6.995
339,5.362
340,8.311
341,5.72
342,6.255
343,6.824
344,9.348
345,6.983
346,8.847
347,6.854
348,8.201
349,7.764
350,5.395
351,9.358
352,9.756
353,5.819
354,5.034
355,5.636
356,7.414
357,7.835
358,6.036
359,5.238
360,8.916
361,7.432
362,7.052
363,6.804
364,8.849
365,7.227
366,9.579
367,5.706
368,9.562
369,8.298
370,8.467
371,9.496
372,9.939
373,8.565
374,7.817
375,8.972
376,8.036
377,6.594
378,8.695
379,8.806
380,9.397
381,7.685
382,8.169
383,9.652
384,6.2
385,8.83
386,9.243
387,9.633
388,9.386
389,6.932
390,8.692
391,9.826
392,9.008
393,7.327
394,7.693
395,9.271
396,5.76
397,7.448
398,8.924
399,8.506
400,5.26
401,8.622
402,8.515
403,5.094
404,6.38
405,9.806
406,9.072
407,9.815
408,8.4
409,9.215
410,8.252
411,5.867
412,9.296
413,7.362
414,5.659
415,9.058
416,8.556
417,8.455
418,9.648
419,8.055
420,9.516
421,7.706
422,9.399
423,9.561
424,8.36
425,6.857
426,5.33
427,8.746
428,6.463
429,9.727
430,8.53
431,6.662
432,8.626
433,6.286
434,9.0
435,8.287
436,6.529
437,9.542
438,7.58
439,8.456
440,8.177
441,8.965
442,7.788
443,8.276
444,8.91
445,8.819
446,7.338
447,7.178
448,5.587
449,5.36
450,5.277
451,9.736
452,5.889
453,6.352
454,8.889
455,5.68
456,9.853
457,8.698
458,6.923
459,5.783
460,7.99
461,5.95
462,9.844
463,6.131
464,7.14
465,6.447
466,6.646
467,9.241
468,8.491
469,8.579
470,9.604
471,5.013
472,8.149
473,7.083
474,6.291
475,7.748
476,7.287
477,9.792
478,7.038
479,6.992
480,8.528
481,7.615
482,8.504
483,6.461
484,9.977
485,5.092
486,7.815
487,9.091
488,8.086
489,6.292
490,9.698
491,9.414
492,6.7
493,9.426
494,7.211
495,8.279
496,8.235
497,9.773
498,6.533
499,7.102
500,9.041
